а - абсолютная частота(встречается в тексте раз): 19, относительная частота: 0.007658202
неба - абсолютная частота(встречается в тексте раз): 2, относительная частота: 8.0612657E-4
изба - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
глава - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
слава - абсолютная частота(встречается в тексте раз): 2, относительная частота: 8.0612657E-4
два - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
миронова - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
сперва - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
обстоятельства - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
ночлега - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
бога - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
дорога - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
бродяга - абсолютная частота(встречается в тексте раз): 3, относительная частота: 0.0012091899
да - абсолютная частота(встречается в тексте раз): 15, относительная частота: 0.006045949
когда - абсолютная частота(встречается в тексте раз): 3, относительная частота: 0.0012091899
никогда - абсолютная частота(встречается в тексте раз): 2, относительная частота: 8.0612657E-4
иногда - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
тогда - абсолютная частота(встречается в тексте раз): 3, относительная частота: 0.0012091899
беда - абсолютная частота(встречается в тексте раз): 3, относительная частота: 0.0012091899
года - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
погода - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
куда - абсолютная частота(встречается в тексте раз): 4, относительная частота: 0.0016122531
сюда - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
держа - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
за - абсолютная частота(встречается в тексте раз): 16, относительная частота: 0.0064490126
из-за - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
глаза - абсолютная частота(встречается в тексте раз): 5, относительная частота: 0.0020153164
собака - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
винтовка - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
слегка - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
изредка - абсолютная частота(встречается в тексте раз): 3, относительная частота: 0.0012091899
человека - абсолютная частота(встречается в тексте раз): 2, относительная частота: 8.0612657E-4
мужика - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
целовальника - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
ямщика - абсолютная частота(встречается в тексте раз): 2, относительная частота: 8.0612657E-4
бока - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
сорока - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
шапка - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
